Taxa;Size.1;Size.2;Size.3;Size.4;Size.5;Size.6;Size.7;Lcy.1;Lcy.2;Pcy.1;Pcy.2;Pcy.3;Aq.egg;Aq.lar;Aq.nym;Aq.adu;Rep.ovo;Rep.egf;Rep.egc;Rep.clcf;Rep.clfr;Rep.clve;Rep.cltr;Rep.asx;Di.aqpa;Di.aqac;Di.aepa;Di.aeac;Resp.te;Resp.gi;Resp.pl;Resp.sp;Resp.hy;Loc.fl;Loc.ssw;Loc.wsw;Loc.cr;Loc.bu;Loc.in;Loc.te;Loc.pe;Fo.mi;Fo.de;Fo.dpl;Fo.lmi;Fo.lma;Fo.dan;Fo.lmii;Fo.lmai;Fo.ve;Ffg.ab;Ffg.de;Ffg.sh;Ffg.sc;Ffg.ff;Ffg.pi;Ffg.pr;Ffg.pa;Sub.co;Sub.gr;Sub.sa;Sub.si;Sub.ma;Sub.mi;Sub.tw;Sub.li;Sub.mu;Trs.oli;Trs.mes;Trs.eut;Tem.ps;Tem.th;Tem.eu;Sab.xe;Sab.ol;Sab.bme;Sab.ame;Sab.po;pH.1;pH.2;pH.3;pH.4;pH.5;pH.6
Piscicola geometra;0;0;0;0;0,4;0,6;0;1;0;0;1;0;0,375;0,375;0;0,25;0;0;0,6;0,4;0;0;0;0;0,6;0,4;0;0;1;0;0;0;0;0;0;0;0,6;0;0;0,4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0,5;0;0,5;0,3;0,1;0;0;0,5;0;0;0,1;0;0;0,75;0,25;0;0;1;0;0;0,75;0,25;0;0;0;0;0,2;0,2;0,6
Helobdella stagnalis;0;0;0,75;0,25;0;0;0;0,75;0,25;0;0,75;0,25;0,333333333;0,333333333;0;0,333333333;0,666666667;0;0;0;0,333333333;0;0;0;0,5;0,5;0;0;1;0;0;0;0;0;0;0;0,666666667;0,166666667;0;0,166666667;0;0;0;0;0;0;0;0;0,75;0,25;0;0;0;0;0;1;0;0;0,2;0;0;0;0,5;0;0;0,3;0;0;0,4;0,6;0;0;1;0;0;0,333333333;0,666666667;0;0,090909091;0,090909091;0,090909091;0,181818182;0,272727273;0,272727273
Theromyzon tessulatum;0;0;0;0;1;0;0;0;1;0;1;0;0,375;0,375;0;0,25;0,666666667;0;0;0;0,333333333;0;0;0;0,333333333;0,166666667;0,5;0;1;0;0;0;0;0;0;0;0,75;0;0;0,25;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0,428571429;0;0;0;0,571428571;0;0;0;0;0;1;0;0;0;1;0;0;0,6;0,4;0;0;0;0;0;0,25;0,75
Haemopis sanguisuga;0;0;0;0;0;1;0;0;1;0;1;0;0,2;0,6;0;0,2;0;0;0;0,6;0;0;0,4;0;0,333333333;0,333333333;0,333333333;0;1;0;0;0;0;0;0;0,142857143;0,571428571;0,142857143;0;0,142857143;0;0;0;0;0;0;0,285714286;0,142857143;0,428571429;0,142857143;0;0;0;0;0;0,5;0,5;0;0,666666667;0;0;0;0,333333333;0;0;0;0;0,2;0,6;0,2;0;0;1;0;0;0,5;0,5;0;0;0;0,166666667;0,166666667;0,333333333;0,333333333
Dina lineata;0;0;0;0;1;0;0;0,25;0,75;0,25;0,75;0;0,375;0,375;0;0,25;0;0;0;1;0;0;0;0;0,5;0,5;0;0;1;0;0;0;0;0;0;0;0,666666667;0,166666667;0;0,166666667;0;0;0;0;0;0;0,333333333;0,166666667;0,5;0;0;0;0;0;0;0;1;0;0,125;0;0;0;0,375;0;0;0,25;0,25;0;1;0;0;0;1;0;0;0,5;0,5;0;0;0;0,1;0,3;0,3;0,3
Ancylus fluviatilis;0;0;0,5;0,5;0;0;0;1;0;0;1;0;0,5;0;0;0,5;0;0;0;1;0;0;0;0;0,5;0,25;0,25;0;1;0;0;0;0;0;0;0;0,6;0;0;0,4;0;0;0;0,222222222;0,555555556;0,222222222;0;0;0;0;0;0;0;1;0;0;0;0;0,357142857;0,285714286;0;0;0,142857143;0,142857143;0,071428571;0;0;0,666666667;0,333333333;0;0;0;1;0,142857143;0,285714286;0,285714286;0,285714286;0;0;0;0;0,2;0,2;0,6
Acroloxus lacustris;0;0;1;0;0;0;0;1;0;0;1;0;0,5;0;0;0,5;0;0;0;1;0;0;0;0;0,666666667;0,333333333;0;0;1;0;0;0;0;0;0;0;0,25;0,75;0;0;0;0;0;0,285714286;0,571428571;0;0,142857143;0;0;0;0;0;0,25;0,75;0;0;0;0;0,076923077;0;0;0;0,384615385;0,153846154;0;0,153846154;0,230769231;0;0,6;0,4;0;0;1;0;0,2;0,4;0,4;0;0;0;0,142857143;0,142857143;0,285714286;0,428571429
Bathyomphalus contortus;0;0,6;0,4;0;0;0;0;1;0;0;1;0;0,5;0;0;0,5;0;0;0;1;0;0;0;0;0,666666667;0,333333333;0;0;1;0;0;0;0;0;0,25;0;0,75;0;0;0;0;0;0,5;0,333333333;0;0;0,166666667;0;0;0;0;0;1;0;0;0;0;0;0,230769231;0,076923077;0;0;0,384615385;0,076923077;0;0;0,230769231;0,75;0,25;0;0;0;1;0;0,333333333;0,5;0,166666667;0;0,1;0,1;0,1;0,1;0,3;0,3
Physa fontinalis;0;0;0,25;0,75;0;0;0;0,75;0,25;0;1;0;0,5;0;0;0,5;0;0;0;1;0;0;0;0;0,666666667;0,333333333;0;0;0,75;0,25;0;0;0;0;0,333333333;0;0,666666667;0;0;0;0;0;0;0,272727273;0,454545455;0,090909091;0,090909091;0;0,090909091;0;0;0;0,25;0,75;0;0;0;0;0,214285714;0,071428571;0;0,071428571;0,357142857;0,071428571;0;0,071428571;0,142857143;0,2;0,4;0,4;0;0,4;0,6;0;0,166666667;0,5;0,333333333;0;0;0;0;0;0,25;0,75
Galba truncatula;0;0;0;0,75;0,25;0;0;1;0;0;0;1;0,75;0;0;0,25;0;0;0;1;0;0;0;0;0,666666667;0,333333333;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0,090909091;0,272727273;0,363636364;0,181818182;0,090909091;0;0;0;0;0;0,25;0,75;0;0;0;0;0,214285714;0,071428571;0;0;0,285714286;0,071428571;0,142857143;0;0,214285714;0,333333333;0,333333333;0,333333333;0;0;1;0,166666667;0,166666667;0,333333333;0,166666667;0,166666667;0,090909091;0,181818182;0,181818182;0,181818182;0,181818182;0,181818182
Lymnaea stagnalis;0;0;0;0;0,5;0,5;0;0,6;0,4;0,25;0,75;0;0,6;0;0;0,4;0;0;0;0,75;0,25;0;0;0;0,5;0,5;0;0;1;0;0;0;0;0;0,25;0;0,75;0;0;0;0;0;0,090909091;0,181818182;0,272727273;0;0,272727273;0;0,181818182;0;0;0;0,166666667;0,5;0;0;0,333333333;0;0,0625;0,125;0,0625;0,0625;0,3125;0,0625;0;0,125;0,1875;0,166666667;0,5;0,333333333;0;0,4;0,6;0;0,25;0,75;0;0;0;0;0;0,166666667;0,333333333;0,5
Dreissena polymorpha;0;0;0;0;0,75;0,25;0;0;1;0;1;0;0,333333333;0,333333333;0;0,333333333;1;0;0;0;0;0;0;0;0,75;0,25;0;0;0,25;0,75;0;0;0;0;0;0,2;0,2;0;0;0;0,6;0;0,375;0;0,25;0;0;0,375;0;0;0;0;0;0;1;0;0;0;0,714285714;0;0;0;0;0;0,285714286;0;0;0;0,666666667;0,333333333;0;0;1;0;0,2;0,6;0,2;0;0;0;0;0;0,25;0,75
Asellus aquaticus;0;0;0;1;0;0;0;0,75;0,25;0;0,25;0,75;0,333333333;0,333333333;0;0,333333333;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0,6;0;0,4;0;0;0;0,166666667;0,5;0,166666667;0,166666667;0;0;0;0;0;0;1;0;0;0;0;0;0,058823529;0,058823529;0,058823529;0;0,294117647;0,176470588;0,117647059;0,176470588;0,058823529;0,166666667;0,5;0,333333333;0;0;1;0;0;0,333333333;0,5;0,166666667;0,090909091;0,090909091;0,090909091;0,181818182;0,272727273;0,272727273
Astacus astacus;0;0;0;0;0;0;1;0;1;0;1;0;0,333333333;0,333333333;0;0,333333333;0,6;0;0;0,4;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0,142857143;0,571428571;0,285714286;0;0;0;0;0;0,166666667;0;0,166666667;0;0;0,333333333;0,333333333;0;0,25;0,25;0;0;0;0,5;0;0,5;0;0,25;0;0;0;0;0;0,25;0,75;0,25;0;0,333333333;0,333333333;0,333333333;0;0,25;0,5;0,25;0;0;0;0,25;0,25;0,25;0,25
Centroptilum luteolum;0;0;1;0;0;0;0;1;0;0;0;1;0,5;0,5;0;0;0;0;1;0;0;0;0;0;0,285714286;0,285714286;0,142857143;0,285714286;0,333333333;0,666666667;0;0;0;0;0;0,6;0,2;0,2;0;0;0;0;0,4;0;0,6;0;0;0;0;0;0;0,4;0;0,6;0;0;0;0;0,083333333;0,166666667;0,083333333;0;0,416666667;0;0,083333333;0,166666667;0;0,4;0,6;0;0;0;1;0;0,2;0,6;0,2;0;0;0;0,166666667;0,166666667;0,166666667;0,5
Nemurella pictetii;0;0;1;0;0;0;0;0,75;0,25;0,25;0,75;0;0,5;0,5;0;0;0;0;0,5;0,5;0;0;0;0;0,5;0,333333333;0;0,166666667;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0,25;0,5;0,25;0;0;0;0;0;0;0;1;0;0;0;0;0;0,285714286;0;0;0;0,714285714;0;0;0;0;1;0;0;0,25;0;0,75;0,6;0,4;0;0;0;0,076923077;0,230769231;0,230769231;0,153846154;0,153846154;0,153846154
Capnopsis schilleri;0;0;1;0;0;0;0;1;0;0;1;0;0,5;0,5;0;0;1;0;0;0;0;0;0;0;0,4;0,4;0;0,2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0,5;0,5;0;0;0;0;0;0;0;0,333333333;0,666666667;0;0;0;0;0;0,3;0,3;0,4;0;0;0;0;0;0;0,333333333;0,333333333;0,333333333;0,75;0;0,25;0,2;0,6;0,2;0;0;0;0,083333333;0,166666667;0,25;0,25;0,25
Pyrrhosoma nymphula;0;0;0;1;0;0;0;0,6;0,4;0,4;0,4;0,2;0,5;0,5;0;0;0;0;0;0;0;1;0;0;0,333333333;0,166666667;0;0,5;0,25;0,75;0;0;0;0;0;0,2;0,8;0;0;0;0;0;0;0;0;0;0;0,2;0,8;0;0;0;0;0;0;0;1;0;0;0;0;0;0,25;0;0,25;0,125;0,375;0,5;0,5;0;0;0;1;0;0,285714286;0,428571429;0,285714286;0;0,076923077;0,076923077;0,153846154;0,230769231;0,230769231;0,230769231
Cordulia aenea;0;0;0;0;1;0;0;0,25;0,75;0,666666667;0,333333333;0;0,5;0,5;0;0;0;0;0,2;0,2;0,6;0;0;0;0;0,25;0;0,75;0,25;0,75;0;0;0;0;0;0,2;0,4;0,4;0;0;0;0;0;0;0;0;0;0,2;0,8;0;0;0;0;0;0;0;1;0;0;0;0;0,214285714;0,214285714;0;0;0,357142857;0,214285714;0,5;0,5;0;0;0;1;0;0;0,5;0,333333333;0,166666667;0;0,153846154;0,153846154;0,230769231;0,230769231;0,230769231
Callicorixa praeusta;0;0;1;0;0;0;0;1;0;0;0;1;0,375;0,375;0;0,25;0;0;0,25;0,75;0;0;0;0;0,2;0,4;0;0,4;0,166666667;0;0,333333333;0,5;0;0,166666667;0;0,833333333;0;0;0;0;0;0;0;0,25;0,25;0,125;0;0,25;0,125;0;0;0;0,428571429;0,285714286;0;0,285714286;0;0;0;0;0;0;0,6;0;0;0,4;0;0;0,4;0,6;0;0;1;0;0;0,25;0,75;0;0,071428571;0,071428571;0,214285714;0,214285714;0,214285714;0,214285714
Aphelocheirus aestivalis;0;0;0,5;0,5;0;0;0;0;1;0;1;0;0,333333333;0,333333333;0;0,333333333;0;0;1;0;0;0;0;0;0,5;0,5;0;0;0,333333333;0;0,333333333;0,333333333;0;0;0;0,25;0,375;0,375;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0,333333333;0,2;0,066666667;0,066666667;0,2;0;0,066666667;0,066666667;0;1;0;0;0;0;1;0;0,333333333;0,666666667;0;0;0;0;0;0;0;1
Parapoynx stratiotata;0;0;0;0,6;0,4;0;0;1;0;0;1;0;0,25;0,375;0,375;0;0;0;0;1;0;0;0;0;0;0;0;1;0,285714286;0,428571429;0;0,285714286;0;0;0;0;0,5;0;0;0,5;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0,333333333;0;0;0,666666667;0;0;0;0;0,2;0,6;0,2;0;0;1;0;0,2;0,6;0,2;0;0;0;0;0,25;0,25;0,5
Brychius elevatus;0;1;0;0;0;0;0;0,25;0,75;0;0,25;0,75;0,375;0,375;0;0,25;0;0;0;1;0;0;0;0;0,333333333;0,166666667;0;0,5;0,5;0;0;0,5;0;0,142857143;0;0,428571429;0,428571429;0;0;0;0;0;0;0;0,5;0,5;0;0;0;0;0;0;0,5;0;0;0,5;0;0;0,090909091;0,181818182;0,090909091;0,090909091;0,363636364;0;0,090909091;0,090909091;0;0,5;0,5;0;0,25;0;0,75;0;0,4;0,6;0;0;0;0;0;0;0;1
Orectochilus villosus;0;0,5;0,5;0;0;0;0;0,25;0,75;0;1;0;0,375;0,375;0;0,25;0;0;0;1;0;0;0;0;0,285714286;0,285714286;0;0,428571429;0,142857143;0,428571429;0;0,428571429;0;0,1;0,3;0,3;0,3;0;0;0;0;0;0;0;0;0;0;0,25;0,75;0;0;0;0,5;0;0;0,5;0;0;0,222222222;0,222222222;0,111111111;0;0,222222222;0;0,111111111;0,111111111;0;0,25;0,75;0;0;0;1;0;0,25;0,75;0;0;0;0;0;0;0;1
Platambus maculatus;0;0;1;0;0;0;0;0;1;0;0,75;0,25;0,375;0,375;0;0,25;0;0;0;1;0;0;0;0;0,333333333;0,166666667;0;0,5;0,25;0;0;0,75;0;0,142857143;0;0,428571429;0,428571429;0;0;0;0;0;0;0;0;0;0;0,2;0,6;0,2;0;0;0,5;0;0;0,5;0;0;0;0,166666667;0,166666667;0,166666667;0,333333333;0;0;0,166666667;0;0;0,75;0,25;0;0;1;0;0,166666667;0,333333333;0,5;0;0;0;0,222222222;0,222222222;0,222222222;0,333333333
Cheumatopsyche lepida;0;0;0,75;0,25;0;0;0;1;0;0;0,6;0,4;0,333333333;0,333333333;0,333333333;0;0;0;0;1;0;0;0;0;0,375;0,125;0,125;0,375;0,4;0,6;0;0;0;0;0;0;0,4;0;0;0,6;0;0;0,333333333;0;0,333333333;0;0;0,333333333;0;0;0;0;0;0;0,75;0;0,25;0;0,5;0,375;0;0;0,125;0;0;0;0;0;0,6;0,4;0;0;1;0;0;0,666666667;0,333333333;0;0;0;0;0,166666667;0,333333333;0,5
Neureclipsis bimaculata;0;0;0,25;0,75;0;0;0;1;0;0;0;1;0,333333333;0,333333333;0,333333333;0;0;0;0;1;0;0;0;0;0,428571429;0,142857143;0,142857143;0,285714286;1;0;0;0;0;0;0;0,2;0,2;0;0;0,6;0;0;0;0,125;0,125;0,125;0;0,375;0,25;0;0;0;0;0;0,5;0;0,5;0;0,428571429;0;0;0;0,285714286;0;0,285714286;0;0;0,2;0,4;0,4;0;0;1;0;0,2;0,6;0,2;0;0;0;0,2;0,2;0,3;0,3
Psychomyia pusilla;0;0,25;0,75;0;0;0;0;1;0;0;0,25;0,75;0,333333333;0,333333333;0,333333333;0;0;0;0;1;0;0;0;0;0,25;0,25;0,25;0,25;1;0;0;0;0;0;0;0;0,333333333;0;0;0,5;0,166666667;0;0,125;0;0,625;0,125;0;0,125;0;0;0;0,166666667;0;0,5;0,333333333;0;0;0;0,416666667;0,083333333;0,083333333;0;0,166666667;0;0,25;0;0;0,25;0,75;0;0;0;1;0;0,166666667;0,5;0,333333333;0;0;0;0,142857143;0,142857143;0,285714286;0,428571429
Glyphotaelius pellucidus;0;0;0;0,75;0,25;0;0;0,75;0,25;0,25;0,75;0;0,142857143;0,428571429;0,428571429;0;0;0;0;0,25;0;0;0,75;0;0,2;0,2;0;0,6;0,5;0,5;0;0;0;0;0;0;1;0;0;0;0;0;0;0,8;0;0,2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0,375;0;0;0,625;0;0,333333333;0,5;0,166666667;0;0;1;0;0,2;0,4;0,4;0;0;0;0,1;0,3;0,3;0,3
Goera pilosa;0;0;0;1;0;0;0;1;0;0;1;0;0,333333333;0,333333333;0,333333333;0;0;0;1;0;0;0;0;0;0,2;0,2;0,2;0,4;0,4;0,6;0;0;0;0;0;0;0,833333333;0;0;0,166666667;0;0;0,166666667;0,333333333;0,5;0;0;0;0;0;0;0;0,25;0,75;0;0;0;0;0,4;0,2;0,2;0;0,2;0;0;0;0;0,4;0,6;0;0;0;1;0;0,166666667;0,5;0,333333333;0;0;0;0;0;0,25;0,75
Lepidostoma hirtum;0;0;0,75;0,25;0;0;0;0,75;0,25;0;0,75;0,25;0,333333333;0,333333333;0,333333333;0;0;0;0;1;0;0;0;0;0,2;0,2;0,2;0,4;0,5;0,5;0;0;0;0;0;0;1;0;0;0;0;0;0;0,8;0,2;0;0;0;0;0;0;0;0,75;0,25;0;0;0;0;0,222222222;0,111111111;0,111111111;0;0,333333333;0;0,222222222;0;0;0,6;0,4;0;0;0;1;0;0,333333333;0,666666667;0;0;0;0;0;0,285714286;0,428571429;0,285714286
Beraeodes minutus;0;0,25;0,75;0;0;0;0;1;0;0;1;0;0,333333333;0,333333333;0,333333333;0;0;0;0;0,666666667;0,333333333;0;0;0;0;0,333333333;0,333333333;0,333333333;0,4;0,6;0;0;0;0;0;0;1;0;0;0;0;0;0,125;0,25;0,375;0;0,25;0;0;0;0;0;1;0;0;0;0;0;0;0;0,166666667;0;0,25;0;0,333333333;0,25;0;0;0,5;0,5;0;0;1;0;0,6;0,2;0,2;0;0;0;0;0,2;0,2;0,6
Odontocerum albicorne;0;0;0;0,75;0,25;0;0;0,6;0,4;0,4;0,6;0;0,333333333;0,333333333;0,333333333;0;0;0;0;0;0;0;1;0;0,428571429;0,142857143;0,142857143;0,285714286;0,4;0,6;0;0;0;0;0;0;0,6;0,4;0;0;0;0;0;0;0,111111111;0,333333333;0;0,333333333;0,222222222;0;0;0;0,5;0;0;0;0,5;0;0,142857143;0,071428571;0,214285714;0,285714286;0,142857143;0;0;0,142857143;0;1;0;0;1;0;0;0;0,75;0,25;0;0;0;0;0,125;0,25;0,25;0,375
Tipulidae;0;0;0;0;0,6;0,4;0;0,4;0,6;0,2;0,6;0,2;0,333333333;0,333333333;0,333333333;0;0;0,75;0;0;0;0;0,25;0;0;0,5;0;0,5;0,333333333;0,166666667;0;0,5;0;0;0;0;0,2;0,8;0;0;0;0;0,153846154;0,307692308;0,153846154;0,153846154;0;0,076923077;0,153846154;0;0;0,285714286;0,428571429;0;0;0;0,285714286;0;0,111111111;0,111111111;0,055555556;0,055555556;0,222222222;0;0,111111111;0,222222222;0,111111111;0,5;0,333333333;0,166666667;0,25;0;0,75;0,222222222;0,333333333;0,333333333;0,111111111;0;0,142857143;0,142857143;0,142857143;0,214285714;0,214285714;0,142857143
Psychodidae;0;0;1;0;0;0;0;1;0;0;0,25;0,75;0,333333333;0,333333333;0,333333333;0;0,2;0;0,2;0,6;0;0;0;0;0,6;0,2;0;0,2;0;0;0;1;0;0;0,333333333;0;0,666666667;0;0;0;0;0;0,181818182;0,363636364;0,181818182;0,090909091;0,181818182;0;0;0;0;0,333333333;0,5;0,166666667;0;0;0;0;0,166666667;0,083333333;0,083333333;0,041666667;0,208333333;0;0,125;0,166666667;0,125;0,142857143;0,428571429;0,428571429;0;0;1;0;0,125;0,25;0,375;0,25;0;0,090909091;0,181818182;0,181818182;0,272727273;0,272727273
Stratiomyidae;0;0;0,333333333;0,333333333;0,166666667;0,166666667;0;0,666666667;0,333333333;0;1;0;0,2;0,4;0,4;0;0;0,5;0;0,333333333;0;0;0,166666667;0;0,166666667;0,166666667;0,166666667;0,5;0;0;0;1;0;0;0,5;0;0,5;0;0;0;0;0;0,083333333;0,416666667;0,25;0;0;0,166666667;0,083333333;0;0;0,285714286;0,428571429;0,142857143;0;0;0,142857143;0;0,166666667;0;0;0;0,333333333;0;0,166666667;0,25;0,083333333;0,666666667;0,333333333;0;0,5;0,5;0;0;0,6;0,4;0;0;0;0;0;0,2;0,2;0,6
Tabanidae;0;0;0;0;0,75;0,25;0;1;0;0;1;0;0,333333333;0,666666667;0;0;0;0;0;0,6;0;0;0,4;0;0;0,25;0;0,75;0;0;0;1;0;0;0,125;0;0,25;0,625;0;0;0;0;0,142857143;0,142857143;0;0;0;0;0,714285714;0;0;0;0,25;0;0;0,75;0;0;0;0,066666667;0,2;0;0,2;0;0;0,266666667;0,266666667;0;0,5;0,5;0;0,25;0,75;0;0,285714286;0,428571429;0,285714286;0;0,125;0,125;0,125;0,125;0,125;0,375
Muscidae;0;0;0,75;0,25;0;0;0;1;0;0;0,25;0,75;0;0,666666667;0,333333333;0;0,166666667;0;0,166666667;0,166666667;0;0;0,5;0;0;1;0;0;0;0;0;1;0;0;0;0;0,8;0,2;0;0;0;0;0,125;0;0,125;0,125;0;0;0,625;0;0;0;0,25;0;0;0;0,75;0;0,176470588;0,058823529;0,058823529;0;0,294117647;0,117647059;0;0,235294118;0,058823529;0;0,25;0,75;0,2;0,2;0,6;0;0,2;0,2;0,6;0;0;0;0,25;0,25;0,25;0,25
Adicella reducta;0;0;1;0;0;0;0;1;0;0;1;0;0,333333333;0,333333333;0,333333333;0;0;0;0;1;0;0;0;0;0,2;0,2;0,2;0,4;0,5;0,5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0,2;0,8;0;0;0;0;0;0;0,5;0,5;0;0;0;0;0,285714286;0;0;0;0,428571429;0;0,285714286;0;0;1;0;0;0;0;1;0,285714286;0,428571429;0,285714286;0;0;0,066666667;0,133333333;0,2;0,2;0,2;0,2
Aeshna grandis;0;0;0;0;0,4;0,6;0;0,25;0,75;0,75;0,25;0;0,25;0,75;0;0;0;0,25;0;0;0;0,375;0,375;0;0,2;0,2;0;0,6;0,25;0,75;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0,166666667;0,666666667;0,166666667;0;0;0;0;0;0;1;0;0;0;0;0;0,363636364;0;0,181818182;0,272727273;0,181818182;0,25;0,75;0;0;0;1;0;0,2;0,6;0,2;0;0;0,111111111;0,111111111;0,222222222;0,222222222;0,333333333
Aeshna;0;0;0;0;0,4;0,6;0;0,25;0,75;0,75;0,25;0;0,25;0,75;0;0;0;0,25;0;0;0;0,375;0,375;0;0,2;0,2;0;0,6;0,25;0,75;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0,166666667;0,666666667;0,166666667;0;0;0;0;0;0;1;0;0;0;0;0;0,363636364;0;0,181818182;0,272727273;0,181818182;0,25;0,75;0;0;0;1;0;0,2;0,6;0,2;0;0;0,111111111;0,111111111;0,222222222;0,222222222;0,333333333
Agapetus ochripes;0;0;1;0;0;0;0;1;0;0;0,75;0,25;0,333333333;0,333333333;0,333333333;0;0;0;0;1;0;0;0;0;0,2;0,4;0,2;0,2;1;0;0;0;0;0;0;0;0,25;0;0;0,75;0;0;0,166666667;0;0,833333333;0;0;0;0;0;0;0,25;0;0,75;0;0;0;0;0,5;0,2;0,1;0;0,1;0;0;0,1;0;0,75;0,25;0;0,25;0;0,75;0,25;0,375;0,375;0;0;0;0;0;0,142857143;0,428571429;0,428571429
Agapetus;0;0;1;0;0;0;0;1;0;0;0,75;0,25;0,333333333;0,333333333;0,333333333;0;0;0;0;1;0;0;0;0;0,2;0,4;0,2;0,2;1;0;0;0;0;0;0;0;0,25;0;0;0,75;0;0;0,166666667;0;0,833333333;0;0;0;0;0;0;0,25;0;0,75;0;0;0;0;0,5;0,2;0,1;0;0,1;0;0;0,1;0;0,75;0,25;0;0,25;0;0,75;0,25;0,375;0,375;0;0;0;0;0;0,142857143;0,428571429;0,428571429
Agrypnia;0;0;0;0,25;0,75;0;0;0,4;0,6;0,5;0,5;0;0,333333333;0,333333333;0,333333333;0;0;0;0;1;0;0;0;0;0,142857143;0,428571429;0,142857143;0,285714286;0,4;0,6;0;0;0;0;0;0;1;0;0;0;0;0;0;0,083333333;0,25;0,083333333;0,083333333;0,166666667;0,333333333;0;0;0;0,6;0,2;0;0;0,2;0;0,222222222;0;0;0;0,333333333;0;0,222222222;0,222222222;0;0,4;0,4;0,2;0;0;1;0;0,5;0,5;0;0;0,133333333;0,2;0,2;0,2;0,133333333;0,133333333
Alboglossiphonia heteroclita;0;0;0;0,5;0,5;0;0;0,25;0,75;0;1;0;0,375;0,375;0;0,25;0,666666667;0;0;0;0,333333333;0;0;0;0,5;0,5;0;0;1;0;0;0;0;0;0;0;0,75;0;0;0,25;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0,75;0;0,25;0,363636364;0,272727273;0;0;0,272727273;0;0;0,090909091;0;0;0,75;0,25;0;0;1;0;0,166666667;0,5;0,333333333;0;0;0,125;0,125;0,125;0,25;0,375
Amphinemura borealis;0;0,25;0,75;0;0;0;0;1;0;0;1;0;0,5;0,5;0;0;0;0;1;0;0;0;0;0;0,4;0,4;0;0,2;0,6;0,4;0;0;0;0;0;0;1;0;0;0;0;0;0,25;0,5;0,25;0;0;0;0;0;0;0,25;0,75;0;0;0;0;0;0,333333333;0;0;0;0,444444444;0;0;0,222222222;0;1;0;0;1;0;0;0,2;0,6;0,2;0;0;0;0,090909091;0,181818182;0,181818182;0,272727273;0,272727273
Amphinemura;0;0,25;0,75;0;0;0;0;1;0;0;1;0;0,5;0,5;0;0;0;0;1;0;0;0;0;0;0,4;0,4;0;0,2;0,6;0,4;0;0;0;0;0;0;1;0;0;0;0;0;0,25;0,5;0,25;0;0;0;0;0;0;0,25;0,75;0;0;0;0;0;0,333333333;0;0;0;0,444444444;0;0;0,222222222;0;1;0;0;1;0;0;0,2;0,6;0,2;0;0;0;0,090909091;0,181818182;0,181818182;0,272727273;0,272727273
Amphinemura sulcicollis;0;0,25;0,75;0;0;0;0;1;0;0;1;0;0,5;0,5;0;0;0;0;1;0;0;0;0;0;0,4;0,4;0;0,2;0,6;0,4;0;0;0;0;0;0;1;0;0;0;0;0;0,25;0,5;0,25;0;0;0;0;0;0;0,25;0,75;0;0;0;0;0;0,333333333;0;0;0;0,444444444;0;0;0,222222222;0;1;0;0;1;0;0;0,2;0,6;0,2;0;0;0;0,090909091;0,181818182;0,181818182;0,272727273;0,272727273
Anabolia;0;0;0;0,4;0,6;0;0;1;0;0;1;0;0,333333333;0,333333333;0,333333333;0;0;0;0;1;0;0;0;0;0,375;0,25;0;0,375;0,4;0,6;0;0;0;0;0;0;1;0;0;0;0;0;0,090909091;0,272727273;0,272727273;0,272727273;0;0;0,090909091;0;0;0,142857143;0,428571429;0,285714286;0;0;0,142857143;0;0,272727273;0;0,181818182;0;0,454545455;0;0;0,090909091;0;0,333333333;0,5;0,166666667;0;0;1;0;0,2;0,6;0,2;0;0;0;0,142857143;0,142857143;0,285714286;0,428571429
Anisus vortex;0;0;0,6;0,4;0;0;0;1;0;0;1;0;0,75;0;0;0,25;0;0;0;1;0;0;0;0;0,666666667;0,333333333;0;0;1;0;0;0;0;0;0,25;0;0,75;0;0;0;0;0;0;0,272727273;0,363636364;0,272727273;0,090909091;0;0;0;0;0;0,333333333;0,666666667;0;0;0;0;0,230769231;0,076923077;0;0;0,384615385;0,076923077;0;0;0,230769231;0,6;0,4;0;0;0;1;0;0,2;0,6;0,2;0;0;0;0,166666667;0,166666667;0,166666667;0,5
